country_of_origin,region,variety,processing_method,color,harvest_year,altitude_mean_meters,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points
Ethiopia,oromia,NA,Natural / Dry,Green,2014,1775,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,NA,2012,NA,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25
United States (Hawaii),kona,NA,NA,NA,2010,NA,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25
Ethiopia,yirgacheffe,NA,NA,NA,2009/2010,NA,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25
Thailand,chiang rai,Caturra,Washed / Wet,Green,2012,1300,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17
Brazil,sul de minas - carmo de minas,Yellow Bourbon,NA,NA,2010,12,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17
Brazil,sul de minas - carmo de minas,Yellow Bourbon,NA,NA,2010,12,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17
Taiwan,natou county,Bourbon,Semi-washed / Semi-pulped,Green,2015,1000,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,Blue-Green,2011,1250,8.33,8,8,8,7.75,8,10,10,10,8,86.08
Colombia,tolima,Caturra,Washed / Wet,Green,2013,1200,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86
Ethiopia,sidamo,NA,NA,NA,2009/2010,1750,7.75,8.08,8,8.25,8,8,10,10,10,7.92,86
United States (Hawaii),kona,NA,NA,NA,Fall 2009,426.72,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86
Guatemala,nuevo oriente,Bourbon,Washed / Wet,Green,2016,NA,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92
Colombia,huila,Caturra,Washed / Wet,Blue-Green,2013,1800,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92
Ethiopia,oromia,NA,Washed / Wet,Green,2014,1900,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83
Guatemala,acatenango,Bourbon,Washed / Wet,Green,2012,1524,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83
Guatemala,nuevo oriente,Catuai,Washed / Wet,Bluish-Green,2012,1417.32,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83
Ethiopia,addis ababa,Caturra,Natural / Dry,None,2017,NA,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,NA,2012,NA,7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58
Ethiopia,oromia,Other,Natural / Dry,Green,2015,1900,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5
Guatemala,huehuetenango,Bourbon,Washed / Wet,Green,2013,1731.264,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5
Ethiopia,oromia,NA,Washed / Wet,Green,2015,1900,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,NA,2012,NA,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,Blue-Green,2011,1250,8,8,8,7.67,7.75,8,10,10,10,8,85.42
Guatemala,huehuetenango,Pacamara,Natural / Dry,Green,2014,1770,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33
Costa Rica,west valley,Caturra,Washed / Wet,Bluish-Green,2014,1300,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33
Costa Rica,san ramon,Caturra,Washed / Wet,Bluish-Green,2014,1300,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33
Ethiopia,yirgacheffe,NA,NA,NA,2009/2010,NA,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33
Ethiopia,yirgacheffe,Typica,NA,NA,2009/2010,NA,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33
Guatemala,oriente,Bourbon,NA,Green,2016,NA,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25
Colombia,santander,Caturra,Washed / Wet,Green,2015,1550,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25
Colombia,santander,Caturra,Natural / Dry,Green,2014,1550,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25
Guatemala,huehuetenango,Caturra,Washed / Wet,NA,2012,1400,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17
Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",Other,Natural / Dry,Green,2016,NA,7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08
Colombia,pasto,Caturra,Natural / Dry,NA,2015,2560,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08
Ethiopia,aricha,NA,Natural / Dry,Green,2014,1700,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Bluish-Green,2014,NA,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08
Colombia,cundinamarca,Caturra,Natural / Dry,Green,2012,2136,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08
United States (Hawaii),kona,NA,NA,NA,2010-2011,NA,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,85.08
Ethiopia,sidamo,NA,NA,NA,2010,NA,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08
United States (Hawaii),kona,NA,NA,NA,NA,NA,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08
Colombia,huila,Caturra,Washed / Wet,Green,2016,NA,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85
Costa Rica,tarrazu,Catuai,Washed / Wet,Green,2016,1900,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85
Mexico,veracruz,Typica,Washed / Wet,Green,2015,1300,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85
Brazil,grama valley,Mundo Novo,Natural / Dry,Green,2012,1100,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85
Mexico,mexico,Pacamara,NA,NA,2010-2011,1400,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,85
United States (Hawaii),kona,NA,NA,NA,NA,NA,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85
Guatemala,"chuva, san marcos",NA,NA,NA,2009/2010,1325.88,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,85
Colombia,huila,Caturra,Washed / Wet,NA,2016,NA,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92
Colombia,huila,Caturra,Washed / Wet,Green,2015,1775,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92
Taiwan,natou county,Typica,Semi-washed / Semi-pulped,Green,2015,800,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92
"Tanzania, United Republic Of",mbeya,Other,Washed / Wet,Green,2014,1620,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92
Colombia,huila,Caturra,Washed / Wet,Green,2012,1775,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92
Mexico,coatepec,Typica,Semi-washed / Semi-pulped,NA,2012,1200,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92
Brazil,south of minas,Bourbon,Natural / Dry,Green,2011,1200,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92
Brazil,south of minas,Catuai,Natural / Dry,Green,2011,1000,8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92
Taiwan,"dongshan dist., tainan city 臺南市東山區",Typica,Natural / Dry,Green,2016,350,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,NA,2012,NA,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,84.83
Ethiopia,sidamo,NA,NA,NA,2009/2010,1750,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,84.83
Ethiopia,sidamo,NA,NA,NA,2009/2010,1750,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,84.83
Thailand,thailand,Caturra,Pulped natural / honey,Green,2015,NA,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75
Honduras,marcala,Catuai,Washed / Wet,Green,2014,1450,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75
Costa Rica,tarrazu,Catuai,Washed / Wet,Blue-Green,2015,1150,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,84.67
Guatemala,acatenango,Bourbon,Washed / Wet,Green,2015,1600,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,84.67
Costa Rica,tarrazu,Caturra,Washed / Wet,Green,2014,1750,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,84.67
Ethiopia,yirgacheffe,Ethiopian Yirgacheffe,Washed / Wet,NA,2014,1900,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,84.67
Costa Rica,costa rica,Other,Other,Green,2014,1750,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,84.67
Costa Rica,west valley,Catuai,Washed / Wet,Green,2014,1200,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,84.67
Costa Rica,NA,NA,Washed / Wet,Green,2012,NA,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,84.67
Taiwan,taichung xinshe 台中市新社區,Typica,Washed / Wet,Green,2013/2014,1000,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,84.67
Colombia,santander,Caturra,Washed / Wet,Green,2013,1550,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,84.67
Guatemala,oriente,Bourbon,Washed / Wet,Green,2012,1310.64,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,84.67
Guatemala,acatenango,Bourbon,Washed / Wet,Green,2012,1524,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,84.67
Mexico,el remudadero,Typica,Washed / Wet,NA,2012,1200,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,84.67
Ethiopia,sidamo,NA,NA,NA,2009/2010,1750,7.42,7.75,7.75,8,8,7.92,10,10,10,7.83,84.67
Colombia,santander,Other,Washed / Wet,Blue-Green,2016,1500,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,84.58
Colombia,huila,Caturra,Washed / Wet,Green,2016,NA,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,84.58
Guatemala,jalapa,Pacas,Washed / Wet,Green,2014,1524,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,84.58
Guatemala,oriente,Bourbon,Washed / Wet,Green,2014,1219.2,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,84.58
Colombia,santander,Caturra,Washed / Wet,NA,2013,1550,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,84.58
Colombia,huila,Caturra,Washed / Wet,NA,2013,1750,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,84.58
Colombia,huila,Caturra,Washed / Wet,Green,2012,1750,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,84.58
Costa Rica,tres rios,Bourbon,Semi-washed / Semi-pulped,Bluish-Green,2012,1575,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,84.58
Colombia,huila,Caturra,Washed / Wet,Green,2012,1800,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,84.58
Brazil,vale da grama,Bourbon,Semi-washed / Semi-pulped,Green,2011,1300,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,84.58
Brazil,mountains of minas gerais,Catuai,Semi-washed / Semi-pulped,Blue-Green,2011,1100,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,84.58
Costa Rica,valle central,Caturra,Washed / Wet,Bluish-Green,2017 / 2018,1200,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,84.5
Costa Rica,tarrazu,Caturra,Washed / Wet,Green,2014,1700,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,84.5
Colombia,cauca,Other,Washed / Wet,Green,2015/2016,1800,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,84.5
Guatemala,oriente,Bourbon,Washed / Wet,Green,2013,1310.64,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,84.5
Mexico,hustusco,Typica,Washed / Wet,Green,2012,1350,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,84.5
Mexico,jaltenango,Typica,Washed / Wet,NA,2012,1500,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,84.5
Guatemala,"el tumbador, san marcos",Bourbon,Washed / Wet,Green,2012,NA,7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,84.5
Brazil,mmm,NA,NA,NA,mmm,NA,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,8.13,84.5
Brazil,test,NA,NA,NA,TEST,NA,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,7.75,84.5
Costa Rica,tarrazu,Caturra,Washed / Wet,Blue-Green,2016,1300,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,84.42
Colombia,pitalito,Caturra,Natural / Dry,Green,2015/2016,NA,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,84.42
Colombia,huila,Caturra,Washed / Wet,Green,2014,1775,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,84.42
Taiwan,"mountain ali, taiwan",Typica,Washed / Wet,Blue-Green,2012,1200,7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,84.42
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Blue-Green,2012,NA,7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,84.42
Mexico,tapachula,Pacamara,Washed / Wet,NA,2012,900,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,84.42
Ethiopia,limu,NA,NA,NA,2009/2010,NA,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,7.75,84.42
Honduras,comayagua,Caturra,NA,Green,2016,1500,7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,84.33
Colombia,huila,Caturra,Washed / Wet,Green,2016,NA,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,84.33
Honduras,central region,Catuai,Washed / Wet,Green,2016,1500,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,84.33
Colombia,la plata,NA,NA,NA,2016,NA,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,7.83,84.33
Colombia,huila,Caturra,Natural / Dry,Green,2015,442,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,84.33
Colombia,huila,Caturra,Washed / Wet,Green,2013,1800,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,84.33
Mexico,tuxtla gutierrez,Typica,Washed / Wet,Blue-Green,2012,1700,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,84.33
Brazil,vale da grama,Yellow Bourbon,NA,NA,2011,1275,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,84.33
Brazil,south of minas,NA,NA,NA,2011,1050,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,84.33
Ethiopia,limu,NA,NA,NA,NA,1493.52,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,84.33
Guatemala,nuevo oriente,NA,NA,NA,December 2009-March 2010,1386.84,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92,84.33
Taiwan,國姓鄉 guoshing township,Typica,Washed / Wet,Blue-Green,2016,1000,7.92,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,84.25
Thailand,chiang rai thailand,Catimor,Natural / Dry,Green,2015,1200,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,84.25
Colombia,nariño,Caturra,Natural / Dry,Green,2016,2560,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,84.25
Guatemala,antigua,Caturra,Washed / Wet,Green,2016,1500,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,84.25
Guatemala,huehuetenango,Caturra,Washed / Wet,Green,2015,1099.4136,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,84.25
Colombia,huila,Caturra,Washed / Wet,Green,2015,1775,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,84.25
Colombia,huila,Caturra,Washed / Wet,Green,2015,1775,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,84.25
Colombia,cauca,Other,Washed / Wet,Green,2015/2016,1800,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,84.25
Colombia,huila,Caturra,Natural / Dry,Green,2015,442,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,84.25
"Tanzania, United Republic Of",shizingo village,Other,Washed / Wet,Green,2014,1620,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,84.25
"Tanzania, United Republic Of",mbeya,Other,Washed / Wet,Green,2014,1600,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,84.25
Guatemala,oriente,Bourbon,Other,Green,2014,1219.2,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,84.25
Colombia,cauca,Caturra,Washed / Wet,Green,2013,1700,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,84.25
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Bluish-Green,2012,NA,7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,84.25
Mexico,san pedro cotzilnam,Typica,Semi-washed / Semi-pulped,Green,2012,1450,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,84.25
Mexico,veracruz,Bourbon,Washed / Wet,Green,2012,1170,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,84.25
Mexico,"la concordia, chiapas",Bourbon,Washed / Wet,Bluish-Green,2012,1400,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,84.25
Guatemala,san marcos,Bourbon,Washed / Wet,Green,2017,1700,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,84.17
Colombia,huila,Caturra,Washed / Wet,Green,2016,NA,7.83,7.75,7.58,7.67,7.75,7.83,10,10,10,7.75,84.17
Costa Rica,tarrazu,Caturra,Washed / Wet,Bluish-Green,2016,1700,7.92,7.75,7.67,7.67,7.5,7.67,10,10,10,8,84.17
Guatemala,huehuetenango,Caturra,Washed / Wet,Green,2016,1116.7872,7.75,7.75,7.58,8,7.67,7.83,10,10,10,7.58,84.17
Guatemala,solola,Caturra,Washed / Wet,Green,2016,1565,7.75,7.92,7.58,7.92,7.67,7.67,10,10,10,7.67,84.17
Guatemala,norte,Bourbon,Washed / Wet,Green,2016,NA,7.58,7.83,7.58,7.83,7.83,7.67,10,10,10,7.83,84.17
Colombia,huila,Caturra,Washed / Wet,Bluish-Green,2015,1775,8,7.5,7.5,7.67,8,7.83,10,10,10,7.67,84.17
Brazil,cerrado,Catuai,Natural / Dry,NA,2015,1150,7.67,7.75,7.75,7.67,7.83,7.75,10,10,10,7.75,84.17
Costa Rica,tarrazu,Caturra,Washed / Wet,Blue-Green,2014,1850,7.67,7.75,7.67,7.75,7.5,8,10,10,10,7.83,84.17
Ethiopia,snnprg; kafa; telo woreda; shada kebele,Gesha,Natural / Dry,Green,2014,1606.5,7.5,7.92,7.58,7.83,7.75,7.83,10,10,10,7.75,84.17
"Tanzania, United Republic Of",arusha,Other,Washed / Wet,Green,2014,1400,7.92,7.75,7.75,7.75,7.75,7.58,10,10,10,7.67,84.17
Colombia,huila,Other,Washed / Wet,Green,2014/2015,1530,7.67,7.5,7.67,7.42,7.83,8.58,10,10,10,7.5,84.17
Guatemala,NA,NA,Washed / Wet,Bluish-Green,2013,NA,7.67,7.75,7.67,7.75,7.75,7.75,10,10,10,7.83,84.17
Brazil,"minas gerais, br",Mundo Novo,Natural / Dry,Green,2012,1038.5,7.58,7.83,7.75,7.67,7.67,8,10,10,10,7.67,84.17
Guatemala,oriente,Bourbon,Washed / Wet,Green,2013,1310.64,7.92,7.75,7.67,7.67,7.83,7.92,10,10,10,7.42,84.17
Colombia,huila,Caturra,Washed / Wet,Green,2012,1750,7.75,7.75,7.75,7.75,7.83,7.75,10,10,10,7.58,84.17
Guatemala,guatemala,Catuai,Natural / Dry,Bluish-Green,2012,NA,7.83,7.5,7.5,8,7.83,7.83,10,10,10,7.67,84.17
Colombia,huila,Caturra,Washed / Wet,Green,2017 / 2018,442,7.83,7.5,7.42,7.5,7.83,8.5,10,10,10,7.5,84.08
Taiwan,"nanxi dist., tainan city 臺南市楠西區",Typica,Washed / Wet,Bluish-Green,2016,968,7.58,7.67,7.67,7.67,7.75,7.83,10,10,10,7.92,84.08
Guatemala,oriente,Bourbon,Washed / Wet,Green,2016,NA,8,7.75,7.5,7.58,7.92,7.67,10,10,10,7.67,84.08
Colombia,huila,Caturra,Washed / Wet,NA,2014,1775,7.92,7.75,7.67,7.75,7.67,7.67,10,10,10,7.67,84.08
Guatemala,"aldea xeucalvitz, ixil region, quiche department",Bourbon,Washed / Wet,Bluish-Green,2014,1550,7.58,7.75,7.67,8,7.75,7.67,10,10,10,7.67,84.08
United States (Hawaii),kona,Hawaiian Kona,Natural / Dry,Green,2012,NA,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,8,84.08
Mexico,santo domingo cacalotepec,Typica,Washed / Wet,Green,2012,1480,7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,7.83,84.08
Ethiopia,"ethiopia, sidamo",Other,Natural / Dry,NA,2012,1800,7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,7.92,84.08
Costa Rica,NA,NA,Washed / Wet,None,2017,NA,7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,7.67,84
Ethiopia,sidamo,Gesha,Natural / Dry,Green,2017,1800,7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,7.92,84
Honduras,comayagua,Caturra,Washed / Wet,Green,2017,1500,7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,7.75,84
Guatemala,huehuetenango,Caturra,Washed / Wet,Green,2015,1706.88,7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,7.58,84
Colombia,huila,Other,Washed / Wet,Green,2014/2015,1600,7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,7.83,84
Guatemala,oriente,Bourbon,Natural / Dry,Green,2014,1219.2,7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,7.5,84
Guatemala,oriente,Bourbon,Other,Green,2014,1219.2,7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,7.83,84
Colombia,huila,NA,Washed / Wet,Green,2014,1480,7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,7.83,84
Colombia,santander,Caturra,Natural / Dry,Green,2014,1450,7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,7.67,84
Colombia,huila,Caturra,Washed / Wet,Green,2014,1775,7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,8.33,84
Ethiopia,sidamo,Other,Natural / Dry,Green,2013,1550,7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,7.83,84
Brazil,south of minas,Yellow Bourbon,Natural / Dry,Green,2013/2014,1260,7.58,7.83,7.67,7.25,8,7.75,10,10,10,7.92,84
Colombia,cauca,Caturra,Washed / Wet,Green,2013,1700,7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,7.67,84
Thailand,thailand,Other,Washed / Wet,Green,2012,NA,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,84
Thailand,NA,NA,NA,NA,2011,NA,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,8,84
Brazil,south of minas,Bourbon,Natural / Dry,Green,2017 / 2018,890,7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,8.5,83.92
